"long","lat","order","hole","piece","group","id"
-996054.7519,6942523.5293,317,FALSE,"1","Clare.1","Clare"
-999035.4203,6942212.0732,318,FALSE,"1","Clare.1","Clare"
-1001163.9089,6939501.0222,319,FALSE,"1","Clare.1","Clare"
-998719.9461,6940154.6969,320,FALSE,"1","Clare.1","Clare"
-1000356.1573,6939339.6851,321,FALSE,"1","Clare.1","Clare"
-1002495.2238,6939651.2213,322,FALSE,"1","Clare.1","Clare"
-1009368.8053,6934728.3858,323,FALSE,"1","Clare.1","Clare"
-1008115.438,6933624.9431,324,FALSE,"1","Clare.1","Clare"
-1006534.3504,6936647.3613,325,FALSE,"1","Clare.1","Clare"
-1005915.1871,6932080.688,326,FALSE,"1","Clare.1","Clare"
-1008862.5131,6930810.6338,327,FALSE,"1","Clare.1","Clare"
-1006609.3188,6931666.0975,328,FALSE,"1","Clare.1","Clare"
-1008976.2971,6929435.7254,329,FALSE,"1","Clare.1","Clare"
-1010662.1073,6922474.1813,330,FALSE,"1","Clare.1","Clare"
-1011400.7825,6923111.5581,331,FALSE,"1","Clare.1","Clare"
-1011999.8936,6922863.5469,332,FALSE,"1","Clare.1","Clare"
-1013779.326,6921889.3118,333,FALSE,"1","Clare.1","Clare"
-1014459.5987,6918350.4233,334,FALSE,"1","Clare.1","Clare"
-1019901.0937,6912875.2987,335,FALSE,"1","Clare.1","Clare"
-1029253.9255,6913569.7074,336,FALSE,"1","Clare.1","Clare"
-1032242.2354,6908696.5028,337,FALSE,"1","Clare.1","Clare"
-1036768.9651,6907042.2783,338,FALSE,"1","Clare.1","Clare"
-1039588.2655,6909425.6162,339,FALSE,"1","Clare.1","Clare"
-1032234.5546,6915327.1783,340,FALSE,"1","Clare.1","Clare"
-1031833.5555,6917478.7256,341,FALSE,"1","Clare.1","Clare"
-1035009.3236,6916562.85,342,FALSE,"1","Clare.1","Clare"
-1034674.572,6917694.7175,343,FALSE,"1","Clare.1","Clare"
-1036403.4637,6918599.7853,344,FALSE,"1","Clare.1","Clare"
-1034720.9643,6917692.9291,345,FALSE,"1","Clare.1","Clare"
-1036611.2078,6914738.5345,346,FALSE,"1","Clare.1","Clare"
-1047545.5006,6909969.6058,347,FALSE,"1","Clare.1","Clare"
-1055237.2377,6912441.5293,348,FALSE,"1","Clare.1","Clare"
-1057763.6816,6915038.0887,349,FALSE,"1","Clare.1","Clare"
-1056318.0407,6915972.3368,350,FALSE,"1","Clare.1","Clare"
-1061039.8933,6915164.8549,351,FALSE,"1","Clare.1","Clare"
-1062740.5129,6919089.2798,352,FALSE,"1","Clare.1","Clare"
-1062151.6007,6922709.8668,353,FALSE,"1","Clare.1","Clare"
-1062691.0966,6921004.9347,354,FALSE,"1","Clare.1","Clare"
-1069816.1583,6922246.5553,355,FALSE,"1","Clare.1","Clare"
-1069434.3931,6921018.3274,356,FALSE,"1","Clare.1","Clare"
-1066664.5246,6921101.5968,357,FALSE,"1","Clare.1","Clare"
-1067271.3066,6920150.773,358,FALSE,"1","Clare.1","Clare"
-1062695.6884,6916801.0812,359,FALSE,"1","Clare.1","Clare"
-1069084.1612,6912631.6597,360,FALSE,"1","Clare.1","Clare"
-1079889.0995,6911570.8998,361,FALSE,"1","Clare.1","Clare"
-1079826.6129,6905964.5047,362,FALSE,"1","Clare.1","Clare"
-1084342.038,6906974.9475,363,FALSE,"1","Clare.1","Clare"
-1084503.5145,6905748.9816,364,FALSE,"1","Clare.1","Clare"
-1091648.6292,6903026.3158,365,FALSE,"1","Clare.1","Clare"
-1096076.3115,6904170.1714,366,FALSE,"1","Clare.1","Clare"
-1100383.9518,6901658.0805,367,FALSE,"1","Clare.1","Clare"
-1101124.6468,6901022.895,368,FALSE,"1","Clare.1","Clare"
-1106331.8415,6901851.655,369,FALSE,"1","Clare.1","Clare"
-1103806.6906,6903863.3013,370,FALSE,"1","Clare.1","Clare"
-1103506.1511,6904971.9407,371,FALSE,"1","Clare.1","Clare"
-1098905.3475,6906495.2945,372,FALSE,"1","Clare.1","Clare"
-1099185.4789,6907936.6427,373,FALSE,"1","Clare.1","Clare"
